booking_code,driver_id,awarded_time,cancel_passenger_time
ADR-0225718-2-161,230835,2016-04-12 02:49:24,2016-04-12 02:54:56
ADR-0280888-2-861,186991,2016-04-08 01:26:14,2016-04-08 01:28:26
ADR-0288937-2-1216,171260,2016-04-12 01:19:23,2016-04-12 01:19:44
ADR-0288937-2-1220,249373,2016-04-13 12:48:15,2016-04-13 12:48:34
ADR-0288937-2-1221,159606,2016-04-13 12:49:06,2016-04-13 12:49:18
ADR-0288937-2-1224,235242,2016-04-13 12:50:12,2016-04-13 12:50:28
ADR-0293833-2-1320,281899,2016-04-07 12:00:18,2016-04-07 12:01:13
ADR-0301116-2-1654,108241,2016-04-11 00:30:26,2016-04-11 00:30:50
ADR-0306176-2-223,99713,2016-04-10 23:00:13,2016-04-10 23:01:19
ADR-0310646-2-127,81846,2016-04-07 00:44:18,2016-04-07 00:44:29
ADR-0314689-2-051,143323,2016-04-07 10:18:51,2016-04-07 10:27:41
ADR-0318724-2-164,81840,2016-04-06 19:14:29,2016-04-06 19:15:19
ADR-0318724-2-168,205618,2016-04-08 21:06:00,2016-04-08 21:13:01
ADR-0320892-2-164,150800,2016-04-13 10:42:42,2016-04-13 10:46:12
ADR-0321570-2-745,192976,2016-04-06 23:12:39,2016-04-06 23:13:00
ADR-0328447-2-683,129668,2016-04-07 12:22:41,2016-04-07 12:22:55
ADR-0337672-2-465,160216,2016-04-09 13:44:09,2016-04-09 13:47:58
ADR-0340432-2-421,199282,2016-04-09 13:59:05,2016-04-09 13:59:51
ADR-0340549-2-479,199962,2016-04-11 02:05:05,2016-04-11 02:07:49
ADR-0340549-2-480,221755,2016-04-11 02:08:22,2016-04-11 02:09:28
ADR-0340695-2-160,51971,2016-04-09 19:42:09,2016-04-09 19:43:40
ADR-0340695-2-162,142107,2016-04-10 02:51:21,2016-04-10 02:51:43
ADR-0342875-2-088,193809,2016-04-13 01:14:02,2016-04-13 01:14:13
ADR-0342875-2-091,286679,2016-04-13 01:16:01,2016-04-13 01:16:13
ADR-0342980-2-288,127337,2016-04-08 00:39:59,2016-04-08 00:40:59
ADR-0343899-2-1457,203230,2016-04-12 00:50:03,2016-04-12 00:50:38
ADR-0343899-2-1460,193020,2016-04-13 00:53:29,2016-04-13 00:53:57
ADR-0343907-2-430,140802,2016-04-08 09:10:34,2016-04-08 09:15:43
ADR-0347277-2-171,297545,2016-04-11 14:29:17,2016-04-11 14:30:12
ADR-0349366-2-094,156226,2016-04-07 13:28:26,2016-04-07 13:30:46
ADR-0349546-2-131,290267,2016-04-07 20:31:03,2016-04-07 20:35:21
ADR-0351674-2-316,70194,2016-04-13 01:05:50,2016-04-13 01:10:57
ADR-0351901-2-347,114141,2016-04-09 13:04:04,2016-04-09 13:09:38
ADR-0351901-2-348,249683,2016-04-11 00:26:30,2016-04-11 00:26:54
ADR-0351901-2-349,197915,2016-04-13 00:24:30,2016-04-13 00:25:52
ADR-0351901-2-350,226471,2016-04-13 00:26:29,2016-04-13 00:26:44
ADR-0351901-2-352,197915,2016-04-13 00:27:32,2016-04-13 00:31:08
ADR-0352154-2-000,181484,2016-04-12 23:12:17,2016-04-12 23:12:36
ADR-0354607-2-179,101228,2016-04-13 10:01:10,2016-04-13 10:02:23
ADR-0355230-2-474,128719,2016-04-07 05:18:37,2016-04-07 05:18:53
ADR-0356575-2-161,159295,2016-04-07 10:29:45,2016-04-07 10:36:42
ADR-0356575-2-164,198928,2016-04-07 10:38:31,2016-04-07 10:40:00
ADR-0356575-2-165,116683,2016-04-07 10:41:36,2016-04-07 10:42:45
ADR-0356575-2-179,181955,2016-04-09 20:43:20,2016-04-09 20:47:08
ADR-0356575-2-183,30077,2016-04-11 16:16:30,2016-04-11 16:21:41
ADR-0356649-2-260,295689,2016-04-13 11:09:14,2016-04-13 11:09:30
ADR-0361227-2-1400,236851,2016-04-11 16:15:38,2016-04-11 16:18:06
ADR-0361227-2-1401,286710,2016-04-11 16:18:26,2016-04-11 16:18:40
ADR-0362629-2-977,156545,2016-04-10 12:24:28,2016-04-10 12:24:48
ADR-0362629-2-987,102827,2016-04-13 00:36:59,2016-04-13 00:37:10
ADR-0364759-2-241,161350,2016-04-13 11:15:43,2016-04-13 11:17:45
ADR-0365219-2-449,151353,2016-04-09 11:18:47,2016-04-09 11:19:00
ADR-0365219-2-450,199874,2016-04-10 05:43:47,2016-04-10 05:44:53
ADR-0365219-2-459,186991,2016-04-10 09:38:25,2016-04-10 09:41:28
ADR-0366478-2-429,190862,2016-04-13 10:07:55,2016-04-13 10:08:23
ADR-0371369-2-245,168717,2016-04-13 10:10:31,2016-04-13 10:12:08
ADR-0371627-2-645,111511,2016-04-09 05:09:54,2016-04-09 05:10:32
ADR-0376390-2-663,159624,2016-04-13 00:11:14,2016-04-13 00:11:31
ADR-0376390-2-664,153230,2016-04-13 00:11:58,2016-04-13 00:12:08
ADR-0379078-2-271,279382,2016-04-09 06:04:26,2016-04-09 06:18:06
ADR-0380096-2-164,286927,2016-04-11 03:20:26,2016-04-11 03:22:32
ADR-0380528-2-230,260832,2016-04-09 02:14:05,2016-04-09 02:15:06
ADR-0380628-2-760,138700,2016-04-08 08:42:07,2016-04-08 08:45:38
ADR-0381740-2-120,221769,2016-04-12 04:13:41,2016-04-12 04:17:28
ADR-0384410-2-280,124970,2016-04-11 00:17:57,2016-04-11 00:22:13
ADR-0388505-2-3137,196675,2016-04-13 00:07:39,2016-04-13 00:09:52
ADR-0390517-2-356,139933,2016-04-13 14:43:48,2016-04-13 14:44:05
ADR-0393369-2-589,192058,2016-04-12 12:35:46,2016-04-12 12:38:32
ADR-0394606-2-1303,283035,2016-04-12 09:22:58,2016-04-12 09:23:37
ADR-0397135-2-469,210657,2016-04-07 16:57:55,2016-04-07 16:58:27
ADR-0398089-2-066,238825,2016-04-07 03:52:20,2016-04-07 03:52:36
ADR-0398669-2-1937,172973,2016-04-09 06:48:25,2016-04-09 06:51:15
ADR-0412405-2-791,151293,2016-04-12 09:02:28,2016-04-12 09:02:42
