passenger1_id,completed,passenger_cancelled,Time,P-Cancel Rate,Ride Rate
33771,2,1,1,0.33,0.14
47034,7,1,1,0.13,0.50
82870,3,1,1,0.25,0.21
119666,4,1,1,0.20,0.29
120333,0,1,1,1.00,0.00
122297,1,2,2,0.67,0.07
122643,5,5,5,0.50,0.36
133691,2,1,1,0.33,0.14
133702,7,3,1,0.30,0.50
133733,14,1,1,0.07,1.00
144711,0,1,1,1.00,0.00
145471,0,1,1,1.00,0.00
156337,0,4,1,1.00,0.00
159142,2,1,1,0.33,0.14
162430,0,1,1,1.00,0.00
165633,2,1,1,0.33,0.14
170414,3,1,1,0.25,0.21
172836,5,4,5,0.44,0.36
180349,5,2,5,0.29,0.36
188090,8,1,1,0.11,0.57
188760,2,3,1,0.60,0.14
189366,3,1,1,0.25,0.21
192485,11,1,1,0.08,0.79
196660,0,1,1,1.00,0.00
219586,0,1,1,1.00,0.00
225718,9,1,1,0.10,0.64
230957,5,1,5,0.17,0.36
231718,1,1,2,0.50,0.07
233039,9,1,1,0.10,0.64
250697,19,1,1,0.05,1.36
256926,0,2,1,1.00,0.00
262125,4,1,1,0.20,0.29
268941,3,1,1,0.25,0.21
269046,12,1,1,0.08,0.86
271558,1,3,2,0.75,0.07
274667,0,1,1,1.00,0.00
280888,9,1,1,0.10,0.64
281146,4,1,1,0.20,0.29
281869,5,1,5,0.17,0.36
282989,19,2,1,0.10,1.36
284983,20,7,7,0.26,1.43
286025,3,1,1,0.25,0.21
286223,0,1,1,1.00,0.00
286378,8,2,1,0.20,0.57
286748,5,1,5,0.17,0.36
287134,2,2,1,0.50,0.14
287711,15,1,1,0.06,1.07
287786,0,2,1,1.00,0.00
287801,0,1,1,1.00,0.00
288679,0,2,1,1.00,0.00
288937,19,4,1,0.17,1.36
288948,18,2,2,0.10,1.29
289008,8,1,1,0.11,0.57
290177,4,1,1,0.20,0.29
291270,1,2,2,0.67,0.07
292120,8,1,1,0.11,0.57
293833,8,3,1,0.27,0.57
293951,17,1,1,0.06,1.21
294328,6,1,1,0.14,0.43
301116,7,1,1,0.13,0.50
302707,7,1,1,0.13,0.50
302996,24,1,1,0.04,1.71
304558,0,2,1,1.00,0.00
304582,4,4,1,0.50,0.29
306009,2,1,1,0.33,0.14
306176,2,1,1,0.33,0.14
306587,8,1,1,0.11,0.57
307304,3,1,1,0.25,0.21
308624,18,1,2,0.05,1.29
308791,2,1,1,0.33,0.14
308819,0,1,1,1.00,0.00
308825,2,1,1,0.33,0.14
308872,6,2,1,0.25,0.43
310195,6,2,1,0.25,0.43
310646,0,1,1,1.00,0.00
311278,4,3,1,0.43,0.29
312131,5,1,5,0.17,0.36
313606,2,1,1,0.33,0.14
